Date,Open,High,Low,Close,Adj Close,Volume
2018-04-22,30327.029297,30665.099609,29871.199219,30280.669922,30280.669922,8308890600
2018-04-29,30530.400391,30853.130859,29859.300781,29926.500000,29926.500000,7057498100
2018-05-06,30102.060547,31277.390625,29791.869141,31122.060547,31122.060547,7587740500
2018-05-13,31498.359375,31592.560547,30818.779297,31047.910156,31047.910156,7931331500
2018-05-20,31232.789063,31464.099609,30525.740234,30588.039063,30588.039063,7290249300
2018-05-27,30759.839844,30839.300781,29964.339844,30492.910156,30492.910156,12691190700
2018-06-03,30836.769531,31521.130859,30743.179688,30958.210938,30958.210938,8683326800
2018-06-10,31016.519531,31242.859375,30259.109375,30309.490234,30309.490234,8798134800
2018-06-17,29999.009766,30012.039063,29089.390625,29338.699219,29338.699219,9979046800
2018-06-24,29326.119141,29403.359375,28169.099609,28955.109375,28955.109375,12360913500
2018-07-01,28617.000000,28642.339844,27830.750000,28315.619141,28315.619141,9283258600
2018-07-08,28606.160156,28981.929688,28013.720703,28525.439453,28525.439453,8717412500
2018-07-15,28580.960938,28699.210938,27745.849609,28224.480469,28224.480469,8382719900
2018-07-22,28298.609375,29083.400391,28091.060547,28804.279297,28804.279297,8566425300
2018-07-29,28631.050781,28839.240234,27578.089844,27676.320313,27676.320313,7809610000
2018-08-05,27885.509766,28728.169922,27730.419922,28366.619141,28366.619141,7344029300
2018-08-12,27956.779297,28085.169922,26871.109375,27213.410156,27213.410156,8584495200
2018-08-19,27273.779297,28051.650391,27209.220703,27671.869141,27671.869141,8099606000
2018-08-26,28016.660156,28579.640625,27720.320313,27888.550781,27888.550781,8366138100
2018-09-02,27809.449219,27984.890625,26669.580078,26973.470703,26973.470703,9444860200
2018-09-09,26922.269531,27340.019531,26219.560547,27286.410156,27286.410156,10034004800
2018-09-16,27029.910156,27965.960938,26648.990234,27953.580078,27953.580078,9123608000
2018-09-23,27783.849609,28031.810547,27425.009766,27788.519531,27788.519531,6926920300
2018-09-30,27716.160156,27716.160156,26373.460938,26572.570313,26572.570313,6985405300
2018-10-07,26717.599609,26717.599609,25125.220703,25801.490234,25801.490234,10950309500
2018-10-14,25683.589844,25743.449219,25090.300781,25561.400391,25561.400391,6884736900
2018-10-21,25668.330078,26234.859375,24589.039063,24717.630859,24717.630859,9935507500
2018-10-28,24955.789063,26486.349609,24540.630859,26486.349609,26486.349609,12160409300
2018-11-04,26050.339844,26530.869141,25475.320313,25601.919922,25601.919922,8415300900
2018-11-11,25576.279297,26197.310547,25092.300781,26183.529297,26183.529297,7157322900
2018-11-18,26278.869141,26397.390625,25494.509766,25927.679688,25927.679688,5811309000
2018-11-25,26099.349609,26923.330078,26031.900391,26506.750000,26506.750000,7892024300
2018-12-02,27185.660156,27260.439453,26016.089844,26063.759766,26063.759766,10611280000
2018-12-09,25794.949219,26581.929688,25570.890625,26094.789063,26094.789063,7256479000
2018-12-16,26178.039063,26186.300781,25313.750000,25753.419922,25753.419922,7569669300
2018-12-23,25515.400391,25920.630859,25416.359375,25504.199219,25504.199219,3612076000
